CustomerID,Age,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200000,41,Self Enquiry,3,Salaried,Female,3,3,Basic,3,Single,1,1,2,1,0,Manager,20993
200001,49,Company Invited,1,Salaried,Male,3,4,Basic,4,Divorced,2,0,3,1,2,Manager,20130
200002,37,Self Enquiry,1,Free Lancer,Male,3,4,Basic,3,Single,7,1,3,0,0,Executive,17090
200003,33,Company Invited,1,Salaried,Female,2,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909
200004,30,Self Enquiry,1,Small Business,Male,2,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468
200005,32,Company Invited,1,Salaried,Male,3,3,Basic,3,Single,1,0,5,1,1,Executive,18068
200006,59,Self Enquiry,1,Small Business,Female,2,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670
200007,30,Self Enquiry,1,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,Executive,17693
200008,38,Company Invited,1,Salaried,Male,2,4,Premium,3,Unmarried,1,0,3,0,0,Senior Manager,24526
200009,36,Self Enquiry,1,Small Business,Male,3,3,Premium,3,Divorced,7,0,3,1,0,Manager,20237
200010,35,Self Enquiry,1,Small Business,Male,2,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426
200011,22,Self Enquiry,1,Salaried,Female,2,4,Basic,3,Single,1,1,3,0,0,Manager,20000
200012,31,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911
200013,34,Self Enquiry,1,Small Business,Male,3,3,Basic,3,Married,1,0,3,0,2,Executive,17661
200014,28,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028
200015,29,Self Enquiry,1,Salaried,Female,2,2,Premium,5,Married,2,0,5,1,1,Senior Manager,24980
200016,32,Self Enquiry,1,Salaried,Male,3,2,Basic,4,Married,1,1,2,1,0,Executive,18298
200017,22,Company Invited,1,Small Business,Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935
200018,53,Self Enquiry,3,Salaried,Female,3,4,Premium,3,Divorced,3,0,3,1,0,AVP,30427
200019,22,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Single,6,1,4,0,1,Executive,16000
200020,22,Company Invited,1,Salaried,Female,3,2,Basic,3,Married,1,0,3,1,2,Manager,20000
200021,22,Self Enquiry,3,Salaried,Male,2,4,Basic,5,Single,1,0,2,0,0,Manager,18407
200022,34,Self Enquiry,1,Salaried,Female,2,3,Premium,4,Unmarried,1,0,3,1,0,Senior Manager,26994
200023,21,Self Enquiry,1,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232
200024,34,Self Enquiry,1,Small Business,Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960
